CODEMP;CODPROD;DESCRPROD;REFERENCIA;CODLOCAL;DESCRLOCAL;CONTROLE;ESTOQUE;RESERVADO;DISPONIVEL;ATIVO;CODGRUPOPROD;DESCRGRUPOPROD
6;159735;BOMBA AGUA MOTOR;159735;101;LOCAL WMS; ;1;1;0;S;10101;BLOCO DOS CILINDROS
6;159778;BOMBA AGUA MOTOR C/ TAMPA;159778;101;LOCAL WMS; ;1;1;0;S;10101;BLOCO DOS CILINDROS
6;160157;PARAFUSO BIELA MWM TODOS 225 / 226./ 229 / X10 / X12;160157;101;LOCAL WMS; ;32;16;16;S;11501;PARAFUSO
6;160585;INTERRUPTOR TRANSFERENCIA CX 8X/16S;160585;101;LOCAL WMS; ;2;1;1;S;10701;ALTERNADOR
6;160595;TAMPA GARGALO VALVULA TERMOSTATICA MBB;160595;101;LOCAL WMS; ;1;1;0;S;0;<SEM GRUPO>
6;160960;ELEMENTO FILTRO COMBUSTIVEL OLEO DIESEL;160960;101;LOCAL WMS; ;1;1;0;S;10801;FILTRO DE AR
6;162102;JOGO DE REPARO CAMBIO COMPLETO;162102;101;LOCAL WMS; ;3;2;1;S;0;<SEM GRUPO>
6;162322;TUBO COMBUSTIVEL DRENO BOMBA ALTA;162322;101;LOCAL WMS; ;1;1;0;S;10109;INJECAO COMBUSTIVEL
6;162353;ROLAMENTO TRASEIRO ROLOS CONICOS  EIXO PILOTO;162353;101;LOCAL WMS; ;1;1;0;S;10304;ENGRENAGENS E EIXOS
6;162395;JUNTA TAMPA VALVULA MBB OM906 / OM926 - BORRACHA;162395;101;LOCAL WMS; ;1;0;1;S;20299;GRUPO EM MANUTENCAO
6;164166;PARAFUSO;164166;101;LOCAL WMS; ;6;6;0;S;10121;SISTEMA ESCAPAMENTO
6;164436;CONEXAO ROSCADA;164436;101;LOCAL WMS; ;1;0;1;S;10301;CARCACA DE MUDANCAS
6;165197;KIT REPARO TAMPA RETENTORA EIXO PILOTO;165197;101;LOCAL WMS; ;1;0;1;S;0;<SEM GRUPO>
6;165440;BUJAO ROSCADO ACO;165440;101;LOCAL WMS; ;2;0;2;S;10301;CARCACA DE MUDANCAS
