Seq_Recebimento_Canhoto,Nro_Nota_Fiscal,Serie_Nota_Fiscal,Data_Recebimento,Cod_Empresa,Nome_Fantasia_Empresa,Data_Hora_Inclusao,Cod_Usuario_Inclusao,Nome_Usuario,Nro_Unico,Cod_Parceiro,Nome_Parceiro,Data_Negociacao,Data_Prev_Fin,Nro_CTe,Observacao,Cod_Transportadora,Transportadora,Cod_Vendedor,Vendedor,Valor_Nota,Cod_Situacao_WMS,Status_WMS,Data_Recebimento_WMS,Conferencia_Final
18,33640,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:33:22,99,GUILHERME.SANTOS,1186540,9304,COMPANHIA BRASILEIRA DE DISTRIBUICAO  SA F008733,23012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,7.0,NEVES,685.68,6.0,Armazenado,30012026 00:00:00,S
17,972877,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:33:08,99,GUILHERME.SANTOS,1186348,1185,BR COMPANY IMPORTACAO E EXPORTACAO DE PECAS LTDA F003561,23012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,0.0,<SEM VENDEDOR>,1220.33,6.0,Armazenado,26012026 00:00:00,S
16,324415,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:32:49,99,GUILHERME.SANTOS,1189580,3848,QUINELATO INDUSTRIA E COMERCIO LTDA C001731,23012026 00:00:00,01022026 00:00:00,,,4600,VAL TRANSPORTES MONTE ALTO LTDA  ME C026649,4.0,BRUNO JERONIMO,4084.17,6.0,Armazenado,28012026 00:00:00,S
15,140433,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:32:37,99,GUILHERME.SANTOS,1187833,7802,ARCA INDUSTRIA E COMERCIO DE RETENTORES LTDA F000701,22012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,8.0,GUILHERME TRINDADE,5798.73,6.0,Armazenado,28012026 00:00:00,S
14,3868,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:32:24,99,GUILHERME.SANTOS,1190390,13256,ABS METALURGICA LTDA,19012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,8.0,GUILHERME TRINDADE,3958.29,6.0,Armazenado,29012026 00:00:00,S
13,390842,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:32:06,99,GUILHERME.SANTOS,1187710,1139,RIBEIRAO DIESEL SA VEICULOS C004184,24012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,6.0,FELIPE PEREIRA,1959.42,6.0,Armazenado,28012026 00:00:00,S
12,33744,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:31:48,99,GUILHERME.SANTOS,1187386,9304,COMPANHIA BRASILEIRA DE DISTRIBUICAO  SA F008733,26012026 00:00:00,01022026 00:00:00,,,8405,TRANSEXPRESS  TRANSPORTE DE CARGAS LTDA C031916,6.0,FELIPE PEREIRA,1315.29,6.0,Armazenado,27012026 00:00:00,S
11,33744,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:31:36,99,GUILHERME.SANTOS,1187386,9304,COMPANHIA BRASILEIRA DE DISTRIBUICAO  SA F008733,26012026 00:00:00,01022026 00:00:00,,,8405,TRANSEXPRESS  TRANSPORTE DE CARGAS LTDA C031916,6.0,FELIPE PEREIRA,1315.29,6.0,Armazenado,27012026 00:00:00,S
10,553119,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:31:22,99,GUILHERME.SANTOS,1188560,2426,LNG IMPORTACAO E EXPORTACAO DE AUTO PECAS LTDA F001872,26012026 00:00:00,01022026 00:00:00,,,21887,L G A BERNARDO TRANSPORTES,7.0,NEVES,4615.28,6.0,Armazenado,28012026 00:00:00,S
9,33826,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:30:59,99,GUILHERME.SANTOS,1188568,9304,COMPANHIA BRASILEIRA DE DISTRIBUICAO  SA F008733,27012026 00:00:00,01022026 00:00:00,,,8405,TRANSEXPRESS  TRANSPORTE DE CARGAS LTDA C031916,6.0,FELIPE PEREIRA,1818.04,6.0,Armazenado,28012026 00:00:00,S
8,335904,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:30:01,99,GUILHERME.SANTOS,1189722,1186,CUMMINS  VENDAS E SERVICOS DE MOTORES E GERADORES F001159,27012026 00:00:00,01022026 00:00:00,,,9383,JTO TRANSPORTES LTDA C572161,0.0,<SEM VENDEDOR>,72602.03,4.0,Conferido,30012026 00:00:00,S
7,6782,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:24:40,99,GUILHERME.SANTOS,1189707,12534,MDM CONEXOES E TUBOS LTDA,26012026 00:00:00,01022026 00:00:00,,,9383,JTO TRANSPORTES LTDA C572161,56.0,EDUARDO PUTINATTO,16051.46,2.0,Em Recebimento,29012026 00:00:00,S
6,49598,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:20:14,99,GUILHERME.SANTOS,1189711,6782,BRAKEMATIC LTDA F003726,26012026 00:00:00,01022026 00:00:00,,,9383,JTO TRANSPORTES LTDA C572161,7.0,NEVES,8581.01,6.0,Armazenado,30012026 00:00:00,S
5,141652,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:18:20,99,GUILHERME.SANTOS,1189727,9304,COMPANHIA BRASILEIRA DE DISTRIBUICAO  SA F008733,27012026 00:00:00,01022026 00:00:00,,,56930,S M EXPRESS TRANSPORTES LTDA,0.0,<SEM VENDEDOR>,878.94,,Sem WMS,,
