Seq_Recebimento_Canhoto,Nro_Nota_Fiscal,Serie_Nota_Fiscal,Data_Recebimento,Cod_Empresa,Nome_Fantasia_Empresa,Data_Hora_Inclusao,Cod_Usuario_Inclusao,Nome_Usuario,Nro_Unico,Cod_Parceiro,Nome_Parceiro,Data_Negociacao,Data_Prev_Fin,Nro_CTe,Observacao,Cod_Transportadora,Transportadora,Cod_Vendedor,Vendedor,Valor_Nota,Cod_Situacao_WMS,Status_WMS,Data_Recebimento_WMS,Conferencia_Final
70,726372,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:57:57,99,GUILHERME.SANTOS,1192230,198,EATON LTDA F000595,17012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,3.0,JULIANO MARCHEZAM,2385.59,6.0,Armazenado,30012026 00:00:00,S
69,725102,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:57:38,99,GUILHERME.SANTOS,1192190,198,EATON LTDA F000595,16012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,3.0,JULIANO MARCHEZAM,438.02,6.0,Armazenado,31012026 00:00:00,S
69,725102,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:57:38,99,GUILHERME.SANTOS,1192190,198,EATON LTDA F000595,16012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,3.0,JULIANO MARCHEZAM,438.02,6.0,Armazenado,30012026 00:00:00,S
68,726055,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:57:22,99,GUILHERME.SANTOS,1192178,198,EATON LTDA F000595,17012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,3.0,JULIANO MARCHEZAM,138.41,6.0,Armazenado,30012026 00:00:00,S
67,725861,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:57:03,99,GUILHERME.SANTOS,1192171,198,EATON LTDA F000595,16012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,3.0,JULIANO MARCHEZAM,63.78,6.0,Armazenado,30012026 00:00:00,S
66,2970745,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:56:46,99,GUILHERME.SANTOS,1191443,5158,MAHLE METAL LEVE SA F006579,23012026 00:00:00,01022026 00:00:00,,,21659,FL BRASIL HOLDING LOGISTICA E TRANSPORTE LTDA,4.0,BRUNO JERONIMO,4848.9,6.0,Armazenado,02022026 00:00:00,S
65,411548,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:56:31,99,GUILHERME.SANTOS,1192174,3319,PACAEMBU AUTO PECAS LTDA F000166,23012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,0.0,<SEM VENDEDOR>,1986.0,,Sem WMS,,
64,411734,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:55:59,99,GUILHERME.SANTOS,1192183,3319,PACAEMBU AUTO PECAS LTDA F000166,29012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,6.0,FELIPE PEREIRA,2245.0,6.0,Armazenado,31012026 00:00:00,S
63,89427,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:55:33,99,GUILHERME.SANTOS,1192245,7430,ARCO FORJADO EXPORTACAO IMPORTACAO IND E COM LTDA F004065,28012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,,,,,Sem WMS,,
62,729615,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:55:03,99,GUILHERME.SANTOS,1192252,198,EATON LTDA F000595,21012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,3.0,JULIANO MARCHEZAM,1355.6,6.0,Armazenado,30012026 00:00:00,S
61,729172,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:54:55,99,GUILHERME.SANTOS,1192253,198,EATON LTDA F000595,21012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,3.0,JULIANO MARCHEZAM,994.95,6.0,Armazenado,31012026 00:00:00,S
60,729857,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:54:30,99,GUILHERME.SANTOS,1192258,198,EATON LTDA F000595,21012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,3.0,JULIANO MARCHEZAM,1140.08,6.0,Armazenado,31012026 00:00:00,S
59,975072,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:54:16,99,GUILHERME.SANTOS,1192279,1185,BR COMPANY IMPORTACAO E EXPORTACAO DE PECAS LTDA F003561,29012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,0.0,<SEM VENDEDOR>,10803.64,6.0,Armazenado,31012026 00:00:00,S
58,76936,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:54:06,99,GUILHERME.SANTOS,1192267,11367,CAROL LUBRIFICANTES E SERVICOS LTDA F001874,30012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,8.0,GUILHERME TRINDADE,679.2,6.0,Armazenado,31012026 00:00:00,S
57,467234,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:53:57,99,GUILHERME.SANTOS,1192298,8597,MORELATE SUDESTE DISTRIBUIDORA DE AUTOPECAS SA F008112,29012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,6.0,FELIPE PEREIRA,264.23,6.0,Armazenado,02022026 00:00:00,S
56,25270,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:53:42,99,GUILHERME.SANTOS,1192303,9161,USILUX  USINAGEM DE PECAS LTDA F003730,28012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,0.0,<SEM VENDEDOR>,11711.76,6.0,Armazenado,31012026 00:00:00,S
55,729363,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:53:27,99,GUILHERME.SANTOS,1192310,8874,MSAM DISTRIBUIDORA DE PECAS LTDA F050274,29012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,6.0,FELIPE PEREIRA,446.7,6.0,Armazenado,31012026 00:00:00,S
54,300090,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:53:15,99,GUILHERME.SANTOS,1192313,5397,CAMPINAS DIESEL LTDA EXP E IMP F000602,29012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,0.0,<SEM VENDEDOR>,4884.25,6.0,Armazenado,31012026 00:00:00,S
53,8027,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:52:58,99,GUILHERME.SANTOS,1190578,13050,CIA BRASILEIRA DIST AUTO SA,29012026 00:00:00,01022026 00:00:00,,,22363,GWTEX DO BRASIL TRANSPORTES LTDA,,,,,Sem WMS,,
52,8027,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:52:41,99,GUILHERME.SANTOS,1190578,13050,CIA BRASILEIRA DIST AUTO SA,29012026 00:00:00,01022026 00:00:00,,,22363,GWTEX DO BRASIL TRANSPORTES LTDA,,,,,Sem WMS,,
51,1075808,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:52:25,99,GUILHERME.SANTOS,1192368,7851,UNIVERSAL AUTOMOTIVE SYSTEMS SA F002824,29012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,0.0,<SEM VENDEDOR>,1422.49,6.0,Armazenado,31012026 00:00:00,S
50,66433,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:52:11,99,GUILHERME.SANTOS,1192374,578,AUTOLINEA AUTOPECAS LTDA F004590,29012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,7.0,NEVES,4758.18,,Sem WMS,,
49,1075848,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:52:01,99,GUILHERME.SANTOS,1192381,7851,UNIVERSAL AUTOMOTIVE SYSTEMS SA F002824,29012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,56.0,EDUARDO PUTINATTO,4410.93,6.0,Armazenado,02022026 00:00:00,S
48,117897,,30012026 00:00:00,4,MMARRA - ARACATUBA (SP),30012026 18:51:46,99,GUILHERME.SANTOS,1189477,1,MMARRA  RIBEIRAO PRETO SP,28012026 00:00:00,01022026 00:00:00,,,22053,TRANSF RIBEIRÃO PRETO,0.0,<SEM VENDEDOR>,251.08,,Sem WMS,,
47,117886,,30012026 00:00:00,4,MMARRA - ARACATUBA (SP),30012026 18:51:31,99,GUILHERME.SANTOS,1189198,1,MMARRA  RIBEIRAO PRETO SP,28012026 00:00:00,01022026 00:00:00,,,22339,RODOCERTO TRANSPORTES LTDA,0.0,<SEM VENDEDOR>,400.95,,Sem WMS,,
46,117891,,30012026 00:00:00,4,MMARRA - ARACATUBA (SP),30012026 18:51:21,99,GUILHERME.SANTOS,1189286,1,MMARRA  RIBEIRAO PRETO SP,28012026 00:00:00,01022026 00:00:00,,,22339,RODOCERTO TRANSPORTES LTDA,0.0,<SEM VENDEDOR>,101.18,,Sem WMS,,
45,117875,,30012026 00:00:00,4,MMARRA - ARACATUBA (SP),30012026 18:51:07,99,GUILHERME.SANTOS,1188892,1,MMARRA  RIBEIRAO PRETO SP,28012026 00:00:00,01022026 00:00:00,,,22339,RODOCERTO TRANSPORTES LTDA,0.0,<SEM VENDEDOR>,1790.21,,Sem WMS,,
44,117884,,30012026 00:00:00,4,MMARRA - ARACATUBA (SP),30012026 18:50:57,99,GUILHERME.SANTOS,1189177,1,MMARRA  RIBEIRAO PRETO SP,28012026 00:00:00,01022026 00:00:00,,,21928,RODOCERTO TRANSPORTES LTDA,0.0,<SEM VENDEDOR>,580.01,,Sem WMS,,
43,471835,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:50:45,99,GUILHERME.SANTOS,1192402,8225,ZM SA F001445,27012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,0.0,<SEM VENDEDOR>,19468.08,6.0,Armazenado,31012026 00:00:00,S
42,316866,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:50:33,99,GUILHERME.SANTOS,1192405,2051,PATRAL PECAS LTDA F000877,29012026 00:00:00,01022026 00:00:00,,,502,RODONAVES TRANSPORTES E ENCOMENDAS LTDA C000982,0.0,<SEM VENDEDOR>,1999.24,6.0,Armazenado,31012026 00:00:00,S
41,23582,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:50:14,99,GUILHERME.SANTOS,1192410,735,PLATO POLO EMBREAGENS LTDA ME F006269,28012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,6.0,FELIPE PEREIRA,9406.71,6.0,Armazenado,31012026 00:00:00,S
40,742354,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:50:06,99,GUILHERME.SANTOS,1192418,10587,KSPG AUTOMOTIVE BRAZIL LTDA F002557,28012026 00:00:00,01022026 00:00:00,,,56995,EXPRESSO SAO MIGUEL SA,9.0,PAULO BOVO,596.63,6.0,Armazenado,31012026 00:00:00,S
39,10492,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:49:33,99,GUILHERME.SANTOS,1190587,10144,CIA BRASILEIRA DISTRIBUICAO AUTOMOTIVA SA F008743,29012026 00:00:00,01022026 00:00:00,,,8541,ROVDIR TRANSPORTE DE CARGAS RAPIDAS E ENCOMENDAS LTDA,7.0,NEVES,1123.3,,Sem WMS,,
38,12631,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:49:21,99,GUILHERME.SANTOS,1192023,13134,MEGA DISTRIBUIDORA LTDA,28012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,0.0,<SEM VENDEDOR>,14066.9,6.0,Armazenado,30012026 00:00:00,S
37,1099086,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:49:08,99,GUILHERME.SANTOS,1192382,2046,INTERNATIONAL IND AUTOMOTIVA DA AMERICA DO SUL F004705,28012026 00:00:00,01022026 00:00:00,,,21989,PATRUS TRANSPORTES URGENTES LTDA,5.0,JULIANO NOVAES,1425.14,6.0,Armazenado,31012026 00:00:00,S
36,33628,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:48:49,99,GUILHERME.SANTOS,1185497,9304,COMPANHIA BRASILEIRA DE DISTRIBUICAO  SA F008733,23012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,7.0,NEVES,1321.0,,Sem WMS,,
